Unit,Plot,Class,Azimuth,Distance,Code,DBH,Height
2,L4,O,20,2.59,BLO,32.3,40.9
2,L4,O,63,9.64,BLO,23.8,(blank)
2,L4,O,318,13.69,NRO,23.5,(blank)
2,Q4,O,114,15.04,REE,6.7,(blank)
2,L4,O,225,16.2,TUP,20.7,(blank)
2,L4,D,NA,NA,WHA,,(blank)
2,P6,D,22,12,BLO,40,32.9
2,L4,O,181,17.66,WHA,17.3,(blank)
2,L4,O,190,7.29,BLW,16.8,34.5
2,G5,D,NA,NA,CHO,,(blank)
2,H5,O,341,10.67,TUP,37.6,(blank)
2,L4,O,152,17.39,SAS,14.6,(blank)
2,Q6,O,321,12.3,TUP,34.9,(blank)
2,K4,O,78,13.88,TUP,36.9,45.8
2,L4,O,307,8.77,SHH,13.9,(blank)
2,J6,O,84,5.8,CHO,35.7,30.8
2,H2,O,60,10.99,TUP,35.4,(blank)
2,D1,O,124,17.08,CHO,35,(blank)
2,L4,O,127,16.11,PIH,14.4,(blank)
2,F3,O,245,10.93,TUP,33.6,(blank)
2,J6,D,127,15.7,CHO,33.7,24.4
2,J6,O,249,17.78,CHO,38.2,(blank)
2,L4,O,310,6.6,SHH,13,27.2
2,E3,O,353,3.13,NRO,34.2,41.4
2,E5,O,101,9.68,NRO,34.6,35.8
2,Q7,O,100,13.22,AMB,34.1,(blank)
2,I5,D,306,17.27,BLO,32.3,24.7
2,L4,O,0,16.4,SHH,12.5,(blank)
2,L4,O,210,8.66,SHH,12.3,(blank)
2,L4,O,44,6.74,BLG,12.2,(blank)
2,Q7,O,142,7.61,WHA,31.1,(blank)
2,N4,O,259,11.54,WHO,31.1,39.7
2,R5,O,95,10.76,TUP,30.4,37.3
2,P5,O,121,1.66,NRO,31.2,35.7
2,J4,O,47,3.81,TUP,30.2,(blank)
2,C5,O,40,15.1,TUP,30,(blank)
2,D4,O,88,10.23,CHO,29.9,(blank)
2,L4,O,0,11.89,BLW,11.4,(blank)
2,M4,O,28,10.95,BLO,30,(blank)
2,L4,D,150,16.41,SAS,11.3,22.6
2,L5,O,190,10.39,TUP,29.9,39.3
2,L5,O,266,8.79,NRO,29.9,38.6
2,B5,O,322,17.19,CHO,29.4,(blank)
2,M4,O,175,8.57,BLO,29.3,35.3
2,F1,O,171,9.23,WHO,28.9,30.6
2,J5,D,NA,NA,BLO,,(blank)
2,G5,O,358,10.52,NRO,28.6,40.1
2,D5,O,223,4.57,TUP,29.1,36
2,O4,O,NA,NA,NRO,,NA
2,G3,O,198,7.94,CHO,28.6,NA
2,Q6,O,155,14.17,NRO,28.5,(blank)
2,R5,O,114,5.76,TUP,27.8,(blank)
2,K6,O,85,16.55,SUM,27.7,(blank)
2,H3,O,235,15.02,CHO,27.5,36.5
2,I4,O,266,12.51,BLO,28.6,41.6
2,F3,O,345,8.79,NRO,28,42.4
2,G3,O,295,12.45,BLO,27,(blank)
2,H4,O,236,3.38,CHO,28,32.7
2,P5,D,NA,NA,WHO,,(blank)
2,I5,D,35,9.16,CHO,25.9,30.4
2,L4,D,NA,NA,AMB,,(blank)
2,R6,O,24,17.04,BLO,28.7,(blank)
2,C1,O,87,11.16,TUP,27.6,42.1
2,C1,O,7,15.12,TUP,27.5,(blank)
2,D5,O,249,12.15,TUP,27.5,35.7
2,F3,O,0,11,NRO,26.8,39.6
2,L4,O,215,6.23,SHH,10.4,(blank)
2,G6,O,295,15.25,CHO,26.9,27.2
2,F3,O,255,4.12,CHO,27.2,(blank)
2,F2,O,99,6.1,BLO,27.4,(blank)
2,O4,O,74,11.36,BLO,27.4,(blank)
2,S5,O,317,14.35,TUP,26.3,36.4
2,E3,O,290,15.93,CHO,27.5,32.2
2,H7,O,120,7.02,BLO,27.1,35
2,D3,O,115,9.42,NRO,26.7,(blank)
2,D5,O,22,12.8,CHO,27.3,(blank)
2,D3,O,241,4.42,NRO,25.9,28.2
2,H6,O,38,14.6,WHO,26.5,
2,K6,O,358,6.38,WHO,26.5,31
2,G3,O,295,11.53,BLO,26,37.3
2,D1,O,313,15.91,CHO,26.8,(blank)
2,F2,O,157,13.3,BLO,27.3,34.1
2,I5,O,64,16.28,CHO,25.4,(blank)
2,S5,O,220,7.15,TUP,25.3,(blank)
2,H7,D,202,10.43,TUP,25.2,19.6
2,P6,D,NA,NA,TUP,,(blank)
2,H5,O,82,7.29,BLO,25.8,(blank)
2,K4,O,100,5.81,TUP,26.5,37
2,E4,O,338,8.89,CHO,28.4,29.8
2,G4,O,296,13.11,SCO,26.2,(blank)
2,H3,O,321,6.07,TUP,25.1,(blank)
2,H4,O,57,16.17,CHO,25.7,(blank)
2,H5,O,163,13.88,CHO,25.7,(blank)
2,F3,D,292,16.56,TUP,24.1,28.4
2,I5,O,184,13.95,NRO,24.6,33.9
2,O4,O,49,13.54,NRO,26.1,41.5
2,K6,O,356,17.31,BLO,25.4,33.4
2,B5,O,350,17.02,WHO,25.1,(blank)
2,P6,O,35,14.1,TUP,40.1,(blank)
2,F5,O,86,13.75,NRO,25.6,37.6
2,A5,O,139,11.96,BLO,25.4,(blank)
2,G7,D,51,13.27,WHO,23.5,(blank)
2,C5,O,99,14.68,TUP,24.4,(blank)
2,D4,D,167,12.42,NRO,23.1,10.2
2,M4,O,7,10.07,BLO,25.4,35
2,G3,O,119,16.86,NRO,25,(blank)
2,G5,O,0,7.91,NRO,24.8,44
2,L4,D,NA,NA,BLW,,NA
2,H3,O,309,15.89,WHO,24.8,37.1
2,C6,O,9,9.38,SCO,24.5,29.5
2,H4,O,281,17.22,CHO,24.3,22.9
2,G3,O,305,14.28,BLO,24.6,(blank)
2,B5,O,248,9.32,TUP,24.3,(blank)
2,J5,O,74,6.97,BLO,24.5,(blank)
2,S5,O,271,15.07,BLO,24.5,31.2
2,O5,O,309,10.27,AMB,25.6,30.5
2,K4,O,285,14.26,WHA,25.3,(blank)
2,D6,O,247,3.93,CHO,24.8,(blank)
2,N4,O,278,15.15,WHO,24.3,40.3
2,K4,O,330,14.32,WHA,24.1,(blank)
2,E1,O,234,8.85,BAS,24,(blank)
2,P6,O,107,9.6,TUP,23.9,38.1
2,I4,O,305,13.37,BLO,24.3,39.2
2,Q6,D,62,8.74,TUP,21.8,27.2
2,G2,O,91,9.53,BLW,24.3,(blank)
2,F5,O,206,16.07,CHO,24.1,36.5
2,H4,O,187,11,BLO,24,39.8
2,J3,O,108,17.24,WHO,23.7,(blank)
2,P6,O,169,16.8,TUP,23.7,(blank)
2,C4,D,NA,12.03,NRO,15.7,23.7
2,S5,O,295,14.74,NRO,24,(blank)
2,C5,O,242,12,PIH,23.7,(blank)
2,E3,O,273,11.13,WHO,23.7,38.3
2,L4,O,9,10.76,AMB,9.2,(blank)
2,S5,O,213,13.34,BLO,23.2,(blank)
2,H6,O,296,17.21,WHO,22.4,28.4
2,H5,O,20,14.3,BLO,23.8,37.6
2,J6,D,60,16.11,BLO,28.7,26
2,F2,O,205,13.7,BLO,24,34.1
2,O5,O,206,5.06,REM,26.8,29.2
2,H3,O,280,4.76,CHO,23.7,32.7
2,H5,O,174,11.39,CHO,23.3,34.8
2,H2,O,315,8.27,TUP,23.2,(blank)
2,C5,O,234,14.32,TUP,22.9,(blank)
2,F3,O,57,6.8,CHO,23.4,(blank)
2,E6,D,NA,NA,CHO,,(blank)
2,I4,O,330,17.75,TUP,23.7,39.9
2,C6,O,354,5.49,CHO,23.1,
2,G2,O,247,11.44,CHO,23.8,(blank)
2,G4,O,285,14.26,NRO,23.4,(blank)
2,E5,O,145,14.32,CHO,23.3,(blank)
2,P6,O,125,5.4,TUP,22.8,36
2,C4,O,15,7.57,CHO,22.5,29.6
2,I3,O,306,2.83,TUP,23.1,33.4
2,P5,O,218,5.89,BIH,23,34.8
2,G5,O,339,9.49,CHO,22.8,(blank)
2,I6,O,70,12.89,BLO,23.9,(blank)
2,E5,O,64,11.55,TUP,23.2,37.7
2,K6,O,221,17.65,PIH,22.9,(blank)
2,M4,O,310,6.66,BLO,27.3,(blank)
2,P5,O,356,15.43,TUP,22.6,(blank)
2,D1,O,168,4.82,WHO,22.3,(blank)
2,D4,O,212,16.44,SCO,22.3,27
2,G6,O,345,17.6,CHO,13.5,(blank)
2,F2,D,NA,NA,NRO,,NA
2,J3,O,116,4.42,BLO,22.7,(blank)
2,E6,O,168,16.92,WHO,21.6,25.9
2,P4,O,157,13.49,SUM,22.6,(blank)
2,D3,O,304,2.11,NRO,22.4,(blank)
2,E3,O,28,12.45,SCO,22.2,(blank)
2,K3,O,185,8.66,AMB,22.2,38.9
2,E3,O,243,12.49,TUP,22.1,(blank)
2,D3,O,268,16.5,SUM,21.9,(blank)
2,G3,O,10,9.12,BLO,22.6,39.8
2,G3,O,266,15.05,CHO,22.1,(blank)
2,E4,O,210,15.72,CHO,22.8,(blank)
2,O4,O,152,10.94,BAS,22.6,37.5
2,C7,O,295,14.2,BLO,22.3,31.7
2,J3,O,70,14.7,PIH,21.5,(blank)
2,B4,D,164,13.64,WHO,21.3,29
2,L4,O,155,15.43,SUM,9,(blank)
2,G5,O,333,14.06,CHO,22.1,(blank)
2,D4,O,130,12.92,NRO,22.3,31.2
2,C6,O,8,2.29,BLO,22,29
2,E4,O,15,5.58,CHO,21.9,(blank)
2,M3,O,200,12.61,AMB,21.8,38.2
2,L4,O,295,9.64,AMB,8.6,(blank)
2,J6,D,NA,NA,UNK,,(blank)
2,D7,O,191,9.24,AMS,22.3,26.3
2,D1,O,140,9.44,CHO,21.7,(blank)
2,C6,O,272,7.48,CHO,21.5,
2,F6,O,210,11.61,CHO,23.1,25.1
2,B4,O,255,6.04,BLO,23,34
2,F4,O,29,10.91,CHO,22,(blank)
2,H6,O,8,13.07,CHO,22,29.8
2,M3,O,208,16.45,NRO,21.9,(blank)
2,E6,O,68,5.8,CHO,21.7,27.6
2,B5,O,348,14.62,CHO,21.6,41.8
2,A5,O,111,9.66,NRO,21.3,(blank)
2,S5,O,293,8.42,TUP,21.1,36.2
2,P5,D,323,15.08,TUP,20.8,24
2,L4,O,30,13.34,AMB,8.5,(blank)
2,G3,O,61,12.84,NRO,21.9,(blank)
2,O4,O,135,17.25,SUM,21.4,(blank)
2,D5,O,147,11.64,CHO,21.3,(blank)
2,F6,O,260,15.05,CHO,22.1,(blank)
2,M4,O,297,15.49,BLO,22,(blank)
2,B4,D,308,15.75,TUP,20.5,29.7
2,I2,O,131,13.16,NRO,22.1,(blank)
2,H6,D,323,4.96,BLO,21.9,19.2
2,G4,O,110,7.59,BLO,21.8,30.4
2,H6,O,170,9.41,BLO,21.7,(blank)
2,L3,O,88,13.2,NRO,21.3,28.9
2,C4,O,46,6.31,NRO,21.1,(blank)
2,G4,O,20,17.54,BLO,20.5,35.5
2,C6,O,268,7.09,CHO,23.2,
2,Q5,O,91,8.84,TUP,21,37.4
2,D1,O,23,4.68,WHA,20.8,34.6
2,Q5,O,8,3.63,NRO,22,33.7
2,I3,O,121,14.3,PIH,21.4,36.3
2,S5,O,326,17.22,NRO,21.3,(blank)
2,D1,O,336,10.01,CHO,21,(blank)
2,L3,O,52,10.66,NRO,21,(blank)
2,J2,D,75,6.2,TUP,20.7,27
2,I6,O,3,16.94,WHO,21.6,24.4
2,S5,O,252,7.04,CHO,20.9,(blank)
2,K6,O,205,10.15,BLO,20.6,25
2,J3,O,358,14.9,BLO,21.4,37.8
2,E7,O,210,5.16,WHO,21,(blank)
2,Q7,O,238,4.77,BIH,21,37.1
2,E1,O,248,12.89,CHO,20.9,(blank)
2,D4,O,55,1.24,BLO,20.6,(blank)
2,L3,O,185,10.72,TUP,20.6,(blank)
2,D6,O,290,12.85,WHO,19.7,31.7
2,Q6,O,83,14.73,PIH,21.8,30.1
2,E6,O,141,11.69,BLO,21.4,28.8
2,N4,O,259,13.82,NRO,21.3,36.1
2,A5,O,346,16.02,SUM,20.4,(blank)
2,P6,O,107,13,WHA,18.9,(blank)
2,L4,O,337,12.75,AMB,8.1,(blank)
2,R6,D,NA,NA,WHO,,NA
2,H2,O,90,7.85,TUP,20.7,(blank)
2,G5,O,305,13.34,PIH,20.5,36.8
2,G7,O,259,7.23,WHO,20.5,27.5
2,E3,O,92,17.09,CHO,20.2,(blank)
2,M4,O,77,3.4,NRO,21.8,34.3
2,N4,O,224,11.83,NRO,21.6,(blank)
2,G5,O,262,8.25,CHO,20.6,(blank)
2,D3,O,56,15.5,NRO,20.3,(blank)
2,C4,O,280,2.55,BLO,20.2,(blank)
2,H4,O,234,16.62,BLO,20.7,(blank)
2,L5,O,46,8.67,CHO,20.6,35.7
2,R6,D,96,17.13,TUP,19.9,31.1
2,I3,O,308,12,TUP,20,(blank)
2,D1,O,122,14.25,CHO,19.8,(blank)
2,C1,O,5,13.52,BLO,19.7,(blank)
2,H3,D,253,11.44,CHO,19.6,28.7
2,C6,O,333,17.66,SCO,20.5,
2,K6,O,313,9.63,WHO,20.4,(blank)
